route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,IVT,1,,3,http://schedule.ivtransit.com/bus/1,000000,FFFFFF
2,IVT,2,,3,http://schedule.ivtransit.com/bus/3,000000,FFFFFF
3,IVT,3,,3,http://schedule.ivtransit.com/bus/5,000000,FFFFFF
4,IVT,4,,3,http://schedule.ivtransit.com/bus/7,000000,FFFFFF
5,IVT,21,,3,http://schedule.ivtransit.com/bus/9,000000,FFFFFF
6,IVT,22,,3,http://schedule.ivtransit.com/bus/11,000000,FFFFFF
7,IVT,31,,3,http://schedule.ivtransit.com/bus/13,000000,FFFFFF
8,IVT,32,,3,http://schedule.ivtransit.com/bus/14,000000,FFFFFF
9,IVT,41,,3,http://schedule.ivtransit.com/bus/15,000000,FFFFFF
10,IVT,51,,3,http://schedule.ivtransit.com/bus/16,000000,FFFFFF
11,IVT,Blue,,3,http://schedule.ivtransit.com/bus/18,104BA9,FFFFFF
12,IVT,Green,,3,http://schedule.ivtransit.com/bus/19,00C322,000000
13,IVT,Gold,,3,http://schedule.ivtransit.com/bus/20,FFCD00,000000
14,IVT,45,,3,http://schedule.ivtransit.com/bus/22,000000,FFFFFF
