stop_id,stop_name,stop_lat,stop_lon,location_type
1,Avenue C/3rd Street,33.3520530,-115.7316860,0
2,5th Street/G Street,32.9777310,-115.5340260,0
4,8th Street/E Street,32.9795040,-115.5302900,0
5,A Street/Western Avenue,32.9840910,-115.5444160,0
6,B Street/Ulloa Avenue,32.9829500,-115.5208000,0
7,C Street/Best Road,32.9822190,-115.5101440,0
8,C Street/Jacaranda Street,32.9821670,-115.5158330,0
9,Cattle Call Drive/De Anza Place,32.9708390,-115.5466920,0
10,Cattle Call Drive/Willard Avenue,32.9705580,-115.5510940,0
11,Cesar Chavez Street/B Street,32.9829580,-115.5261250,0
12,E Street/Rio Vista Avenue,32.9797380,-115.5478880,0
13,Flammang Avenue/Gutierrez Court,32.9899890,-115.5338940,0
14,Highway 86/Wildcat Drive,32.9635640,-115.5463640,0
15,I Street/Eastern Avenue,32.9750330,-115.5175860,0
16,J Street/8th Street,32.9742730,-115.5322830,0
17,K Street/2nd Street,32.9730160,-115.5397530,0
18,K Street/3rd Street,32.9731870,-115.5374780,0
19,K Street/9th Street,32.9730190,-115.5307060,0
20,K Street/Cesar Chavez Street,32.9731720,-115.5268190,0
22,K Street/Palm Avenue,32.9730180,-115.5222900,0
23,Legion Road/Kelley Avenue,32.9597690,-115.5587190,0
24,Magnolia Street/3rd Street,32.9849750,-115.5387220,0
25,Main Street/2nd Street,32.9785090,-115.5390980,0
26,Main Street/3rd Street,32.9787430,-115.5376220,0
28,Main Street/9th Street,32.9784820,-115.5281700,0
29,Main Street/Cesar Chavez Street,32.9787430,-115.5261190,0
30,Main Street/Palm Avenue,32.9784930,-115.5226790,0
31,Malan Street/1st Street,32.9708360,-115.5419390,0
32,Malan Street/Imperial Avenue,32.9708440,-115.5352250,0
33,Malan Street/Tres Palmas Lane,32.9709330,-115.5132940,0
34,North Plaza Street/E Street,32.9793750,-115.5356460,0
35,Palm Avenue/J Street,32.9743510,-115.5221210,0
36,Palm Avenue/J Street,32.9743530,-115.5219320,0
37,Palm Avenue/K Street,32.9731990,-115.5225520,0
38,Palm Avenue/Main Street,32.9787320,-115.5224710,0
39,Panno Road/Evelyn Avenue,32.9635280,-115.5545060,0
40,Pioneer Memorial Hospital,32.9595730,-115.5539440,0
41,River Drive/Imperial Avenue,32.9868330,-115.5348360,0
43,Western Avenue/G Street,32.9773420,-115.5435030,0
44,Birch Street/Kloke Road,32.6785000,-115.5160720,0
45,Encinas Avenue/7th Street,32.6721620,-115.4882120,0
46,Encinas Avenue/Belcher Street,32.6753550,-115.4882060,0
47,Grant Street/Cesar Chavez Boulevard,32.6739370,-115.5042430,0
48,Hacienda Drive/Ollie Avenue,32.6825560,-115.5008780,0
49,Kloke Road/Grant Street,32.6746120,-115.5160820,0
50,Mary Avenue/4th Street,32.6686490,-115.4920200,0
51,Ollie Avenue/Birch Street,32.6798150,-115.5025010,0
52,Paulin Avenue/3rd Street,32.6676010,-115.4972850,0
53,Rockwood Avenue/Cole Road,32.6940870,-115.4968460,0
54,Rockwood Avenue/Robert Kennedy Street,32.6892090,-115.4953100,0
55,Rockwood Avenue/Vega Street,32.6846160,-115.4960740,0
56,Highway 111/Main Street,33.1266400,-115.5143470,0
57,Main Street/Highway 111,33.1260440,-115.5140920,0
58,Main Street/Lake Avenue,33.1258400,-115.5169080,0
59,Main Street/Park Avenue,33.1256130,-115.5168600,0
60,12th/El Dorado,32.8092120,-115.5652200,0
61,18th Street/Villa Avenue,32.8035470,-115.5772470,0
62,3rd Street/Orange Avenue,32.7889520,-115.5487540,0
63,4th Street/Brighton Avenue,32.7894250,-115.5523750,0
64,4th Street/Brighton Avenue,32.7895730,-115.5526250,0
65,4th Street/Driftwood Drive,32.7760810,-115.5521230,0
66,4th Street/Wake Avenue,32.7708920,-115.5520710,0
67,4th Street/Wake Street,32.7714530,-115.5523690,0
68,4th Street/Wensley Avenue,32.7841890,-115.5525830,0
69,4th Street/Wensley Avenue,32.7842500,-115.5523620,0
70,5th Street/State Street,32.7918610,-115.5555910,0
71,7th/Park,32.7958290,-115.5593600,0
72,8th/Hamilton,32.7855520,-115.5614250,0
73,8th/Pico,32.8053120,-115.5614730,0
76,Adams Avenue/La Brucherie Road,32.7964590,-115.5790500,0
77,Adams Avenue/La Brucherie Road,32.7966430,-115.5791450,0
78,Aurora Drive/4th Street,32.7785240,-115.5533460,0
79,Aurora Drive/4th Street,32.7783290,-115.5527450,0
80,Aurora Drive/Cypress Drive,32.7784870,-115.5637990,0
81,Bradshaw Road/Imperial Avenue,32.8109820,-115.5718370,0
82,Bradshaw Road/La Brucherie Road,32.8112140,-115.5761720,0
83,Central High School,32.7881290,-115.5696620,0
