From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,,Total_Miles,Total_Minutes
1500000US060250121004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,23.64276307,26.1953009
1500000US060250122001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.53938338,27.19270684
1500000US060250122002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.72605452,27.56289619
1500000US060250122003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,25.82319013,29.49342041
1500000US060250122004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.96400646,28.02015418
1500000US060250123021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,47.43962607,49.30154629
1500000US060250124002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,37.07632824,90.46958531
1500000US060250101022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.34163557,18.11920325
1500000US060250101024,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.1660344,17.67281643
1500000US060250104001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,3.1099594,6.77209547
1500000US060250104004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,3.87609765,8.45689742
1500000US060250105002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,1.939407,3.79074676
1500000US060250106003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,1.21871041,3.44164409
1500000US060250107002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.5544786,5.53603001
1500000US060250109002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,22.68608075,25.39210396
1500000US060250109004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,21.8527429,24.20634902
1500000US060250110002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,8.4860192,9.38018926
1500000US060250111003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,18.33957663,21.82178435
1500000US060250113003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,18.61113783,24.31387621
1500000US060250114002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.88516395,17.90850033
1500000US060250115002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.23984557,14.66348436
1500000US060250116001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.22298367,16.7943
1500000US060250117001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,14.5569914,19.17325223
1500000US060250118011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.58179575,17.32278175
1500000US060250118023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.87374756,15.91129479
1500000US060250120011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,25.37296124,29.07982738
1500000US060250120012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,25.1198956,28.35500972
1500000US060250121002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.28780702,26.49838324
1500000US060250123011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,39.24358474,86.37618412
1500000US060250123012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,39.48151106,40.05994585
1500000US060250123022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,43.34022625,48.97830533
1500000US060250123023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,31.71019088,35.01788191
1500000US060250124001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,38.95877765,41.49927537
1500000US060259400001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,78.32103412,78.2950869
1500000US060259400002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,72.10204186,70.54529407
1500000US060259400003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,68.3246688,66.76053438
1500000US060250101011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,20.19259948,25.46744103
1500000US060250101021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,21.46237246,30.1277934
1500000US060250101023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.79626591,17.22690863
1500000US060250102001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.6287482,18.65156817
1500000US060250102002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,8.57193786,11.20785611
1500000US060250103001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.90597005,20.53547146
1500000US060250104002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.74763517,6.06910008
1500000US060250104003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.45207863,5.06620205
1500000US060250104005,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,3.18051322,7.19375242
1500000US060250105001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.68899078,6.02783197
1500000US060250105003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.692716,6.43153293
1500000US060250105004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.21966453,5.00295514
1500000US060250106001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,1.55280494,2.88860823
1500000US060250106002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,1.60073844,3.12417658
1500000US060250106004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,0.18622563,0.54494571
1500000US060250107001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.16073209,4.70541979
1500000US060250107003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,2.84478937,6.01536641
1500000US060250108001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,19.2337799,27.27127348
1500000US060250108002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.60275985,27.01448425
1500000US060250109001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,20.64661553,22.48871128
1500000US060250109003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,22.07905233,24.79388775
1500000US060250109005,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,22.64689887,24.56319448
1500000US060250109006,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,22.91985274,24.90764783
1500000US060250110001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,8.67853243,10.10089859
1500000US060250110003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,9.34176943,10.50429073
1500000US060250110004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,9.46915889,11.87145323
1500000US060250110005,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,9.86300339,12.62754917
1500000US060250110006,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,11.25830565,13.9342603
1500000US060250111001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,21.96143758,25.51145917
1500000US060250111002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,15.06190451,17.91163836
1500000US060250112011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,11.62359255,13.87111577
1500000US060250112012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,11.81847534,14.23795403
1500000US060250112023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.04385956,14.52829235
1500000US060250113002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,16.48359384,19.74382829
1500000US060250113004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,21.51748717,23.38693714
1500000US060250114001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.37524627,18.85807467
1500000US060250114003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,14.87058785,18.25658637
1500000US060250115001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.73216368,15.539831
1500000US060250115003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.70984144,16.01907396
1500000US060250115004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.2064974,14.8826402
1500000US060250116002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.2997972,16.989349
1500000US060250116003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.81456064,15.91226655
1500000US060250116004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.69227003,17.9961968
1500000US060250117002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.65760113,17.54629175
1500000US060250117003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,14.04430234,18.31190677
1500000US060250118012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,14.15310866,17.05914076
1500000US060250118021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.95990577,16.87670426
1500000US060250118022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.82423596,17.9005431
1500000US060250118024,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,13.53090414,17.21145368
1500000US060250118031,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,15.26568774,20.33146102
1500000US060250119001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,21.34728115,25.43927694
1500000US060250119002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,30.03982498,31.83750538
1500000US060250119003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.13682552,25.86918617
1500000US060250120021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,25.6420412,28.7220474
1500000US060250120022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.6064862,27.65361032
1500000US060250121001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,23.99943324,25.65569219
1500000US060250121003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,24.72917272,27.82038967
1500000US060250113001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,18.34481315,19.72731079
1500000US060250112021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,12.36183645,14.68817735
1500000US060250112022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,,11.63243695,13.96942643
