NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Minutes,To_ID,From_ID,RouteLayerItemID,RouteLayerItemURL,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates
1,4 - Location 2,2020-07-29 03:31:53,2020-07-29 03:44:52,2020-07-29 10:31:53,2020-07-29 10:44:52,11.03523321,12.98652983,2,1,,,1500000US060250121004,6,25,12100,4,4,BG,0.403,,,1,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,4 - Location 1,2020-07-29 03:31:53,2020-07-29 03:58:05,2020-07-29 10:31:53,2020-07-29 10:58:05,23.64276307,26.1953009,1,1,,,1500000US060250121004,6,25,12100,4,4,BG,0.403,,,1,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:45:52,2020-07-29 10:31:53,2020-07-29 10:45:52,11.93185352,13.98393576,2,2,,,1500000US060250122001,6,25,12200,1,1,BG,0.68300003,,,2,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:59:05,2020-07-29 10:31:53,2020-07-29 10:59:05,24.53938338,27.19270684,1,2,,,1500000US060250122001,6,25,12200,1,1,BG,0.68300003,,,2,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:44:57,2020-07-29 10:31:53,2020-07-29 10:44:57,10.14984986,13.06080148,2,3,,,1500000US060250122002,6,25,12200,2,2,BG,0.223,,,3,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:59:27.000001,2020-07-29 10:31:53,2020-07-29 10:59:27,24.72605452,27.56289619,1,3,,,1500000US060250122002,6,25,12200,2,2,BG,0.223,,,3,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,3 - Location 2,2020-07-29 03:31:53,2020-07-29 03:45:55.000001,2020-07-29 10:31:53,2020-07-29 10:45:55,10.97329111,14.03671258,2,4,,,1500000US060250122003,6,25,12200,3,3,BG,0.94400001,,,4,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,3 - Location 1,2020-07-29 03:31:53,2020-07-29 04:01:23,2020-07-29 10:31:53,2020-07-29 11:01:23,25.82319013,29.49342041,1,4,,,1500000US060250122003,6,25,12200,3,3,BG,0.94400001,,,4,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,4 - Location 2,2020-07-29 03:31:53,2020-07-29 03:45:07,2020-07-29 10:31:53,2020-07-29 10:45:07,10.24532315,13.2275464,2,5,,,1500000US060250122004,6,25,12200,4,4,BG,0.154,,,5,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,4 - Location 1,2020-07-29 03:31:53,2020-07-29 03:59:54.000001,2020-07-29 10:31:53,2020-07-29 10:59:54,24.96400646,28.02015418,1,5,,,1500000US060250122004,6,25,12200,4,4,BG,0.154,,,5,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:21:11,2020-07-29 10:31:53,2020-07-29 11:21:11,47.43962607,49.30154629,1,6,,,1500000US060250123021,6,25,12302,1,1,BG,1.85699999,,,6,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,1 - Location 2,2020-07-29 03:31:53,2020-07-29 04:36:37,2020-07-29 10:31:53,2020-07-29 11:36:37,60.22295715,64.73776234,2,6,,,1500000US060250123021,6,25,12302,1,1,BG,1.85699999,,,6,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,2 - Location 1,2020-07-29 03:31:53,2020-07-29 05:02:21,2020-07-29 10:31:53,2020-07-29 12:02:21.000001,37.07632824,90.46958531,1,7,,,1500000US060250124002,6,25,12400,2,2,BG,2184.52587891,,,7,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,2 - Location 2,2020-07-29 03:31:53,2020-07-29 05:12:12,2020-07-29 10:31:53,2020-07-29 12:12:12,50.68941407,100.31307361,2,7,,,1500000US060250124002,6,25,12400,2,2,BG,2184.52587891,,,7,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:50:00,2020-07-29 10:31:53,2020-07-29 10:50:00,13.34163557,18.11920325,1,8,,,1500000US060250101022,6,25,10102,2,2,BG,0.61900002,,,8,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,2 - Location 2,2020-07-29 03:31:53,2020-07-29 04:04:35,2020-07-29 10:31:53,2020-07-29 11:04:35,31.21702964,32.69434158,2,8,,,1500000US060250101022,6,25,10102,2,2,BG,0.61900002,,,8,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,4 - Location 1,2020-07-29 03:31:53,2020-07-29 03:49:33,2020-07-29 10:31:53,2020-07-29 10:49:33,13.1660344,17.67281643,1,9,,,1500000US060250101024,6,25,10102,4,4,BG,0.56900001,,,9,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
