stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
44,1425,"Victoria + Central",,33.954148,-117.370206,,,,,,0
2455,1320,"Riverside Opp. Lakeside H.S.",,33.667595,-117.381728,,,,,,0
1594,2730,"Florida NS Raymond",,33.747352,-116.991854,,,,,,0
2305,1238,"Collier FS Hunco Way (Home Depot)",,33.692513,-117.342666,,,,,,0
545,1745,"Brockton + Ramona",,33.972443,-117.388968,,,,,,0
1369,2513,"Murrieta Hot Springs FS Winchester",,33.552943,-117.141338,,,,,,0
1578,2715,"Van Buren FS Gardner",,33.882471,-117.362733,,,,,,0
908,2095,"Ramona Expressway + Perris",,33.844674,-117.226439,,,,,,0
428,1632,"Phoenix FS Arlington",,33.946452,-117.425132,,,,,,0
534,1735,"Indiana + Madison",,33.934681,-117.405074,,,,,,0
1131,2287,"Jurupa + Bain",,33.992832,-117.504670,,,,,,0
676,1869,"Perris + Dracaea",,33.928523,-117.226164,,,,,,0
2182,3258,"Mission Inn + Brockton",,33.985159,-117.378754,,,,,,0
1937,3028,"Mayberry + Buena Vista",,33.740363,-116.967453,,,,,,0
222,1095,"Eucalyptus + Third",,33.982813,-117.359747,,,,,,0
1058,2217,"Van Buren + Jurupa",,33.959043,-117.461764,,,,,,0
583,1782,"Indiana + Myers",,33.911903,-117.445443,,,,,,0
3011,4672,"McCall FS Heritage Lake",,33.721050,-117.149019,,,,,,0
587,1786,"University + Cranford",,33.975772,-117.344689,,,,,,0
1623,2759,"Orange Terrace FS Sandhill",,33.895579,-117.303958,,,,,,0
1983,3074,"Menlo FS Traci",,33.758439,-116.982618,,,,,,0
848,2038,"Ironwood + Heacock",,33.946501,-117.242712,,,,,,0
1268,2417,"Alexander FS Sage",,33.854687,-117.305055,,,,,,0
903,2090,"Perris FS Citrus",,33.809065,-117.226000,,,,,,0
360,1571,"Main NS Kirkwood",,34.005457,-117.363944,,,,,,0
385,1593,"California FS Madrona",,33.938090,-117.431614,,,,,,0
139,1470,"Lincoln + Sonora",,33.930302,-117.397116,,,,,,0
397,1604,"Indiana + Fillmore",,33.892938,-117.478814,,,,,,0
2596,2365,"Chicago + Central",,33.955414,-117.346336,,,,,,0
1365,2509,"Winchester FS Promenade Mall East",,33.529196,-117.153854,,,,,,0
1996,3087,"Lyon FS Matthew",,33.760232,-116.989314,,,,,,0
1457,2598,"Margarita FS La Serena",,33.514033,-117.124042,,,,,,0
669,1863,"Indiana + Racine",,33.903135,-117.459118,,,,,,0
722,1915,"Canyon Crest + University Drive",,33.965756,-117.331262,,,,,,0
2436,1301,"Grand FS Corydon",,33.615782,-117.306956,,,,,,0
1164,2315,"Hwy 74 NS Hammack Avenue",,33.714414,-117.305063,,,,,,0
452,1656,"Arlington Opp. Malibu",,33.945865,-117.428346,,,,,,0
2178,3254,"Mission + Rubidoux Blvd",,33.997208,-117.407756,,,,,,0
1420,2563,"Front FS Rancho California",,33.498778,-117.153849,,,,,,0
1833,2932,"Gilman Springs + Soboba",,33.819547,-116.973719,,,,,,0
3013,4674,"Heritage Lake FS Calm Horizon",,33.709004,-117.143431,,,,,,0
1194,2345,"Oleander + Haines",,33.858681,-117.292262,,,,,,0
592,1791,"Brockton + 14th",,33.978097,-117.383522,,,,,,0
1744,1184,"Hamner FS Hidden Valley Pkwy",,33.898428,-117.562734,,,,,,0
2444,1309,"Grand FS Case",,33.636728,-117.340820,,,,,,0
1008,2187,"Alessandro FS Moreno Beach",,33.917502,-117.176057,,,,,,0
1956,3047,"Lyon + Latham",,33.749427,-116.989086,,,,,,0
1824,2924,"State + Ramona Expressway",,33.802154,-116.971952,,,,,,0
2219,3730,"Canyon Crest FS Via Pueblo",,33.957098,-117.329788,,,,,,0
2308,1241,"Riverside NS Lakeshore",,33.685027,-117.366320,,,,,,0
1205,2356,"Wood FS Krameria",,33.880886,-117.331267,,,,,,0
754,1946,"Alessandro FS Perris",,33.917442,-117.227419,,,,,,0
2181,3257,"Mission Inn + Redwood",,33.987293,-117.383326,,,,,,0
2314,3357,"Mission Trail NS Campbell",,33.656530,-117.297986,,,,,,0
1509,2650,"Center + Michigan",,34.015589,-117.323915,,,,,,0
772,1964,"Eucalyptus + Arbor Park Ln",,33.931668,-117.276030,,,,,,0
2841,1978,"Nason + Dracaea",,33.927775,-117.191774,,,,,,0
2425,1289,"Catt FS Hidden Springs",,33.597733,-117.248447,,,,,,0
127,1460,"Central FS San Diego",,33.953666,-117.391059,,,,,,0
1852,2951,"Stetson + Gilbert",,33.729490,-116.976316,,,,,,0
1031,2208,"Alessandro NS Chicago",,33.943305,-117.353494,,,,,,0
645,1840,"Arlington + Van Buren",,33.945924,-117.452345,,,,,,0
511,1715,"Arlington + Adams",,33.946053,-117.434321,,,,,,0
3000,4660,"Menifee FS Camino Cristal",,33.688717,-117.152366,,,,,,0
188,1065,"Magnolia FS Hughes",,33.914370,-117.456805,,,,,,0
1971,3062,"Dartmouth FS Thornton",,33.726138,-116.936733,,,,,,0
102,1435,"Brockton + Nelson",,33.950318,-117.396710,,,,,,0
869,2059,"Kitching + Iris",,33.887922,-117.217606,,,,,,0
2405,3419,"Thompson FS Breitner",,33.598062,-117.113903,,,,,,0
1878,2969,"Mayberry + Palm",,33.740181,-116.979864,,,,,,0
3039,4698,"Collett + Pierce",,33.902860,-117.498082,,,,,,0
1553,2690,"Hwy 74 FS Ritter",,33.743491,-117.110056,,,,,,0
1376,2520,"California Oaks FS Falconer",,33.590287,-117.198910,,,,,,0
1604,2740,"Sun City Blvd.27220 MB at  Vons Super Market",,33.713354,-117.193855,,,,,,0
2812,3512,"Katella FS State College",,33.803188,-117.888719,,,,,,0
1069,2228,"Limonite + Felspar",,33.975632,-117.484428,,,,,,0
1987,3078,"Kirby FS Fruitvale",,33.761493,-116.998021,,,,,,0
1538,2676,"Florida FS Stanford",,33.747823,-116.932997,,,,,,0
