timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
1,2642,"Iowa + Columbia",,34.001582,-117.339695,,,,,,0
2,2166,"Iris FS Via Del Lago",,33.895285,-117.179630,,,,,,0
4,1910,"Day + Gateway",,33.935170,-117.278697,,,,,,0
5,3033,"Acacia + Elk",,33.743886,-116.984933,,,,,,0
6,1340,"Palomar FS Arnold",,33.597784,-117.263987,,,,,,0
7,1696,"Tyler + Cypress",,33.943239,-117.478312,,,,,,0
9,1396,"Hole Opp. Mitchell",,33.918174,-117.482768,,,,,,0
10,2640,"Iowa NS Spruce",,33.989880,-117.339670,,,,,,0
11,2160,"Alessandro FS Oliver",,33.917600,-117.181580,,,,,,0
12,1269,"Lake Elsinore Walmart",,33.659970,-117.295160,,,,,,0
13,2331,"Old Elsinore + Marie",,33.806616,-117.276275,,,,,,0
14,2840,"Rubidoux + 28th",,34.008525,-117.396972,,,,,,0
15,2157,"Alessandro FS Morrison",,33.917191,-117.199745,,,,,,0
16,2624,"Pechanga Parkway FS Rainbow Canyon",,33.473188,-117.126761,,,,,,0
17,1992,"Heacock + Alessandro",,33.917798,-117.243632,,,,,,0
18,1346,"Grand NS Macy",,33.660787,-117.380021,,,,,,0
19,3443,"Cottonwood NS Jo Ann",,33.924673,-117.232202,,,,,,0
20,2244,"Jurupa + Bain",,33.992678,-117.504587,,,,,,0
21,1097,"Eucalyptus + Sixth",,33.978431,-117.359716,,,,,,0
22,1644,"14th + Sedgewick",,33.970410,-117.361808,,,,,,0
23,2600,"Margarita OPP Tuscany Ridge",,33.512324,-117.138146,,,,,,0
25,1900,"Alessandro FS Alessandro Plaza",,33.917112,-117.247407,,,,,,0
26,1752,"Canyon Crest at Bannockburn Village",,33.977533,-117.331224,,,,,,0
27,1772,"Indiana + Susan",,33.929880,-117.413856,,,,,,0
28,3130,"Bradley + Pinehurst",,33.696975,-117.188721,,,,,,0
29,3218,"Esplanade FS Buena Vista",,33.773094,-116.968033,,,,,,0
30,2729,"Florida FS Buena Vista",,33.747660,-116.967732,,,,,,0
31,1475,"Lincoln + Adams",,33.920458,-117.414552,,,,,,0
32,3137,"Menifee FS Newport",,33.684529,-117.153924,,,,,,0
33,2080,"Perris + Santiago",,33.892270,-117.226129,,,,,,0
34,1846,"Arlington + Jones",,33.946776,-117.481297,,,,,,0
35,2271,"Van Buren + Arlington",,33.945322,-117.454100,,,,,,0
36,1610,"Tyler FS California",,33.920878,-117.468618,,,,,,0
37,1178,"Sumner + Schleisman",,33.960930,-117.575710,,,,,,0
38,2714,"Van Buren FS Porter",,33.882479,-117.357985,,,,,,0
42,1617,"Crest FS Gould",,33.944486,-117.472748,,,,,,0
43,3328,"Encanto 28410 NS Hillside Apts",,33.707815,-117.183020,,,,,,0
44,1922,"Box Springs + Douglasis",,33.946459,-117.289732,,,,,,0
46,1945,"Perris + Bay",,33.920670,-117.226546,,,,,,0
47,3359,"Lyon + Oakland",,33.754418,-116.989082,,,,,,0
48,1779,"Indiana + Jackson",,33.918606,-117.433639,,,,,,0
50,1502,"Brockton + Nelson",,33.951064,-117.396816,,,,,,0
51,2385,"Navajo NS Indian Circle",,33.781737,-117.244448,,,,,,0
53,3427,"Temesca Canyon @ Dos Lagos",,33.817144,-117.506278,,,,,,0
54,2344,"Oleander + Clark",,33.858703,-117.288197,,,,,,0
58,2613,"Rancho California FS Margarita",,33.508299,-117.125622,,,,,,0
59,2772,"Hwy 74 FS Menifee",,33.743049,-117.153461,,,,,,0
61,1727,"Indiana + Bernard",,33.923851,-117.424168,,,,,,0
62,2635,"Iowa + Marlborough",,33.997915,-117.339699,,,,,,0
63,2897,"Thornton + State",,33.725721,-116.972129,,,,,,0
64,2937,"State FS Menlo",,33.758207,-116.971890,,,,,,0
66,1079,"Riverside City College",,33.972628,-117.383553,,,,,,0
67,3420,"Winchester FS Hunter",,33.568710,-117.136831,,,,,,0
68,1754,"Brockton + 14th",,33.978340,-117.382980,,,,,,0
69,3418,"Cloche FS Algarve Ave.",,33.601964,-117.108914,,,,,,0
70,3428,"Temesscal @ Tom's Farms",,33.774217,-117.487926,,,,,,0
71,3330,"Menifee FS Holland",,33.670250,-117.158330,,,,,,0
72,1518,"Harrison FS County Farm Road",,33.920517,-117.454056,,,,,,0
73,2153,"Alessandro FS Appleblossom",,33.917151,-117.221700,,,,,,0
74,2679,"Florida FS Yale",,33.747757,-116.951369,,,,,,0
75,1253,"Chaney FS Minthorn",,33.684037,-117.334712,,,,,,0
76,1109,"Magnolia + Monroe",,33.928721,-117.432121,,,,,,0
79,1824,"Arlington + Madison",,33.945994,-117.412871,,,,,,0
81,1127,"Magnolia + Ellis",,33.876273,-117.524374,,,,,,0
82,2841,"Rubidoux + 29th",,34.006533,-117.398787,,,,,,0
83,1086,"Mission Inn + Comer",,33.977177,-117.360515,,,,,,0
84,1249,"Riverside FS Richard",,33.688715,-117.356966,,,,,,0
85,2471,"Hancock FS Los Alamos",,33.570144,-117.183567,,,,,,0
86,1527,"California NS Madrona",,33.937983,-117.431471,,,,,,0
87,3016,"De Anza 446 + Wateka",,33.786876,-116.968751,,,,,,0
