trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
534541020,1,1,"West to West Corona Metrolink",,0,84703402,shp-1-5h,0,0,00134
534544020,1,1,"West to Corona 6th & Smith",,0,84703302,shp-1-5g,2,2,00121
534546020,1,1,"West to Corona 6th & Smith",,0,84703902,shp-1-5j,0,0,00131
534550020,1,1,"West to Corona 6th & Smith",,0,84704202,shp-1-5g,2,2,00125
534551020,1,1,"West to Corona 6th & Smith",,0,84702802,shp-1-5g,2,2,00114
534553020,1,1,"West to Corona 6th & Smith",,0,84705302,shp-1-5j,0,0,00129
534555020,1,1,"West to Corona 6th & Smith",,0,84703902,shp-1-5g,2,2,00131
534558020,1,1,"West to Corona 6th & Smith",,0,84704202,shp-1-5g,2,2,00125
534560020,1,1,"West to Corona 6th & Smith",,0,84698602,shp-1-5i,2,2,00104
534562020,1,1,"West to Corona 6th & Smith",,0,84703302,shp-1-62,0,0,00121
534564020,1,1,"West to Corona 6th & Smith",,0,84705102,shp-1-5g,2,2,00123
534565020,1,1,"West to West Corona Metrolink",,0,84704902,shp-1-5e,0,0,00108
534567020,1,1,"West to Corona 6th & Smith",,0,84693702,shp-1-5g,2,2,00103
534568020,1,1,"West to West Corona Metrolink",,0,84703002,shp-1-5h,0,0,00128
534570020,1,1,"West to Corona 6th & Smith",,0,84692602,shp-1-5g,2,2,00101
534572020,1,1,"West to Corona 6th & Smith",,0,84706602,shp-1-5g,2,2,00118
534574020,1,1,"West to Corona 6th & Smith",,0,84702702,shp-1-5g,2,2,00113
534576020,1,1,"West to West Corona Metrolink",,0,84703002,shp-1-5e,0,0,00128
534577020,1,1,"West to West Corona Metrolink",,0,84699102,shp-1-5h,0,0,00106
534579020,1,1,"West to Corona 6th & Smith",,0,84706602,shp-1-5j,0,0,00118
534582020,1,1,"West to Corona 6th & Smith",,0,84693002,shp-1-5g,2,2,00102
534586020,1,1,"West to Corona 6th & Smith",,0,84704302,shp-1-5g,2,2,00117
534587020,1,1,"West to Corona 6th & Smith",,0,84693902,shp-1-5i,2,2,00105
534589020,1,1,"West to Corona 6th & Smith",,0,84704502,shp-1-5g,2,2,00119
534591020,1,1,"West to Corona 6th & Smith",,0,84704702,shp-1-5j,0,0,00132
534592020,1,1,"West to West Corona Metrolink",,0,84693702,shp-1-5l,0,0,00103
534593020,1,1,"West to West Corona Metrolink",,0,84702602,shp-1-5h,0,0,00107
534595020,1,1,"West to Corona 6th & Smith",,0,84707602,shp-1-5j,0,0,01804
534599020,1,1,"West to Corona 6th & Smith",,0,84693002,shp-1-5n,2,2,00102
534600020,1,1,"West to Corona 6th & Smith",,0,84703602,shp-1-62,0,0,00124
534625020,1,1,"West to Corona 6th & Smith",,0,84698302,shp-1-5g,2,2,00111
534626020,1,1,"West to Corona 6th & Smith",,0,84699102,shp-1-5g,2,2,00106
534627020,1,1,"West to Corona 6th & Smith",,0,84702602,shp-1-5g,2,2,00107
534628020,1,1,"West to Corona 6th & Smith",,0,84705002,shp-1-5g,2,2,00116
534629020,1,1,"West to Corona 6th & Smith",,0,84693902,shp-1-5g,2,2,00105
534630020,1,1,"West to Corona 6th & Smith",,0,84703702,shp-1-5g,2,2,00120
534631020,1,1,"West to Corona 6th & Smith",,0,84703602,shp-1-5g,2,2,00124
534632020,1,1,"West to Corona 6th & Smith",,0,84707402,shp-1-5g,2,2,00122
534633020,1,1,"West to Corona 6th & Smith",,0,84704802,shp-1-5g,2,2,00126
534634020,1,1,"West to Corona 6th & Smith",,0,84703502,shp-1-5g,2,2,00127
534635020,1,1,"West to Corona 6th & Smith",,0,84704402,shp-1-63,0,0,00130
534636020,1,1,"West to West Corona Metrolink",,0,84699002,shp-1-5e,0,0,00112
534637020,1,1,"West to West Corona Metrolink",,0,84705402,shp-1-5e,0,0,00133
