From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
1500000US060250121004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.87901736
1500000US060250121004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.31245234
1500000US060250122001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.03187481
1500000US060250122001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.66908938
1500000US060250122002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.43890974
1500000US060250122002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.21479298
1500000US060250122003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.337602
1500000US060250122003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.17835004
1500000US060250122004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.84622717
1500000US060250122004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.6035888
1500000US060250123021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,41.25828923
1500000US060250123021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,50.72143791
1500000US060250124002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,32.74423226
1500000US060250124002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,38.51866081
1500000US060250101022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.45260599
1500000US060250101022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.67095333
1500000US060250101024,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.83882339
1500000US060250101024,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,24.10179791
1500000US060250104001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.51100034
1500000US060250104001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.13269581
1500000US060250104004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,3.06269423
1500000US060250104004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.71667161
1500000US060250105002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.67849522
1500000US060250105002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.812626
1500000US060250106003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.0616918
1500000US060250106003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.35900317
1500000US060250107002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.17857778
1500000US060250107002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.55463497
1500000US060250109002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.98680249
1500000US060250109002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,14.64063326
1500000US060250109004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.02573903
1500000US060250109004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.9819401
1500000US060250110002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.76500769
1500000US060250110002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,7.54339465
1500000US060250111003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.11875497
1500000US060250111003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.92026946
1500000US060250113003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,3.93253841
1500000US060250113003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,15.59223441
1500000US060250114002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.10899299
1500000US060250114002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.95872445
1500000US060250115002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.1633059
1500000US060250115002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.14034135
1500000US060250116001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.25551311
1500000US060250116001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.11243905
1500000US060250117001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.14093907
1500000US060250117001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.54678155
1500000US060250118011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.82735928
1500000US060250118011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.1323758
1500000US060250118023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.43575943
1500000US060250118023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.92538201
1500000US060250120011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,9.18188046
1500000US060250120011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.48908964
1500000US060250120012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.97584
1500000US060250120012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.26102056
1500000US060250121002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.48472411
1500000US060250121002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.94782734
1500000US060250123011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,21.40029658
1500000US060250123011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.01160592
1500000US060250123012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,25.33791455
1500000US060250123012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.9249658
1500000US060250123022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,37.31941325
1500000US060250123022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,47.01245186
1500000US060250123023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,26.32923648
1500000US060250123023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,36.18652455
1500000US060250124001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.46260748
1500000US060250124001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,40.80743536
1500000US060259400001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,59.09714206
1500000US060259400001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,59.28184908
1500000US060259400002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,54.43205145
1500000US060259400002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,55.22768692
