From_ID,To_ID,NearRank,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
1,2,1,1500000US060250121004,6,25,12100,4,4,BG,0.403,,,1,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.87901736
1,1,2,1500000US060250121004,6,25,12100,4,4,BG,0.403,,,1,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.31245234
2,2,1,1500000US060250122001,6,25,12200,1,1,BG,0.68300003,,,2,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.03187481
2,1,2,1500000US060250122001,6,25,12200,1,1,BG,0.68300003,,,2,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.66908938
3,2,1,1500000US060250122002,6,25,12200,2,2,BG,0.223,,,3,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.43890974
3,1,2,1500000US060250122002,6,25,12200,2,2,BG,0.223,,,3,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.21479298
4,2,1,1500000US060250122003,6,25,12200,3,3,BG,0.94400001,,,4,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.337602
4,1,2,1500000US060250122003,6,25,12200,3,3,BG,0.94400001,,,4,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.17835004
5,2,1,1500000US060250122004,6,25,12200,4,4,BG,0.154,,,5,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.84622717
5,1,2,1500000US060250122004,6,25,12200,4,4,BG,0.154,,,5,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.6035888
6,1,1,1500000US060250123021,6,25,12302,1,1,BG,1.85699999,,,6,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,41.25828923
6,2,2,1500000US060250123021,6,25,12302,1,1,BG,1.85699999,,,6,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,50.72143791
7,1,1,1500000US060250124002,6,25,12400,2,2,BG,2184.52587891,,,7,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,32.74423226
7,2,2,1500000US060250124002,6,25,12400,2,2,BG,2184.52587891,,,7,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,38.51866081
8,1,1,1500000US060250101022,6,25,10102,2,2,BG,0.61900002,,,8,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.45260599
8,2,2,1500000US060250101022,6,25,10102,2,2,BG,0.61900002,,,8,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.67095333
9,1,1,1500000US060250101024,6,25,10102,4,4,BG,0.56900001,,,9,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.83882339
9,2,2,1500000US060250101024,6,25,10102,4,4,BG,0.56900001,,,9,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,24.10179791
10,1,1,1500000US060250104001,6,25,10400,1,1,BG,0.168,,,10,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.51100034
10,2,2,1500000US060250104001,6,25,10400,1,1,BG,0.168,,,10,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.13269581
11,1,1,1500000US060250104004,6,25,10400,4,4,BG,1.15600002,,,11,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,3.06269423
11,2,2,1500000US060250104004,6,25,10400,4,4,BG,1.15600002,,,11,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.71667161
12,1,1,1500000US060250105002,6,25,10500,2,2,BG,0.15700001,,,12,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.67849522
12,2,2,1500000US060250105002,6,25,10500,2,2,BG,0.15700001,,,12,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.812626
13,1,1,1500000US060250106003,6,25,10600,3,3,BG,0.405,,,13,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.0616918
13,2,2,1500000US060250106003,6,25,10600,3,3,BG,0.405,,,13,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.35900317
14,1,1,1500000US060250107002,6,25,10700,2,2,BG,0.183,,,14,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.17857778
14,2,2,1500000US060250107002,6,25,10700,2,2,BG,0.183,,,14,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.55463497
15,2,1,1500000US060250109002,6,25,10900,2,2,BG,0.215,,,15,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.98680249
15,1,2,1500000US060250109002,6,25,10900,2,2,BG,0.215,,,15,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,14.64063326
16,2,1,1500000US060250109004,6,25,10900,4,4,BG,0.2,,,16,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.02573903
16,1,2,1500000US060250109004,6,25,10900,4,4,BG,0.2,,,16,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.9819401
17,2,1,1500000US060250110002,6,25,11000,2,2,BG,0.28099999,,,17,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.76500769
17,1,2,1500000US060250110002,6,25,11000,2,2,BG,0.28099999,,,17,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,7.54339465
18,2,1,1500000US060250111003,6,25,11100,3,3,BG,0.46700001,,,18,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.11875497
18,1,2,1500000US060250111003,6,25,11100,3,3,BG,0.46700001,,,18,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.92026946
19,2,1,1500000US060250113003,6,25,11300,3,3,BG,0.20999999,,,19,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,3.93253841
19,1,2,1500000US060250113003,6,25,11300,3,3,BG,0.20999999,,,19,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,15.59223441
20,2,1,1500000US060250114002,6,25,11400,2,2,BG,0.177,,,20,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.10899299
20,1,2,1500000US060250114002,6,25,11400,2,2,BG,0.177,,,20,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.95872445
21,2,1,1500000US060250115002,6,25,11500,2,2,BG,0.114,,,21,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.1633059
21,1,2,1500000US060250115002,6,25,11500,2,2,BG,0.114,,,21,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.14034135
22,2,1,1500000US060250116001,6,25,11600,1,1,BG,0.17,,,22,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.25551311
22,1,2,1500000US060250116001,6,25,11600,1,1,BG,0.17,,,22,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.11243905
23,2,1,1500000US060250117001,6,25,11700,1,1,BG,0.292,,,23,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.14093907
23,1,2,1500000US060250117001,6,25,11700,1,1,BG,0.292,,,23,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.54678155
24,2,1,1500000US060250118011,6,25,11801,1,1,BG,0.214,,,24,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.82735928
24,1,2,1500000US060250118011,6,25,11801,1,1,BG,0.214,,,24,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.1323758
25,2,1,1500000US060250118023,6,25,11802,3,3,BG,0.26800001,,,25,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.43575943
25,1,2,1500000US060250118023,6,25,11802,3,3,BG,0.26800001,,,25,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.92538201
26,2,1,1500000US060250120011,6,25,12001,1,1,BG,0.153,,,26,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,9.18188046
26,1,2,1500000US060250120011,6,25,12001,1,1,BG,0.153,,,26,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.48908964
